model,dataset,method,accuracy
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,cot,40.0
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,least_to_most,60.0
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,self_refine,60.0
Qwen/Qwen2.5-Math-1.5B-Instruct,aime2024,standard,60.0
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,cot,0.0
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,least_to_most,0.0
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,self_refine,20.0
Qwen/Qwen2.5-Math-1.5B-Instruct,gsm8k,standard,0.0
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,cot,20.0
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,least_to_most,20.0
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,self_refine,40.0
Qwen/Qwen2.5-Math-1.5B-Instruct,math500,standard,20.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,cot,20.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,least_to_most,20.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,self_refine,60.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,aime2024,standard,20.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,cot,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,least_to_most,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,self_refine,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,gsm8k,standard,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,cot,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,least_to_most,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,self_refine,0.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,math500,standard,0.0
